"","","","","hem"
"1",1,-1.37622697812497,-0.530801304628818,0
"2",1,-1.37622697812497,-0.530801304628818,0
"3",1,-1.37622697812497,-0.530801304628818,0
"4",1,-1.37622697812497,-0.530801304628818,0
"5",1,-1.37622697812497,-0.530801304628818,0
"6",1,-1.37622697812497,-0.530801304628818,0
"7",1,-1.37622697812497,-0.530801304628818,0
"8",1,-1.37622697812497,-0.530801304628818,0
"9",1,-1.37622697812497,-0.530801304628818,0
"10",1,-1.37622697812497,-0.530801304628818,0
"11",1,1.98202862234579,1.20064028818356,1
"12",1,1.98202862234579,1.20064028818356,1
"13",1,1.98202862234579,1.20064028818356,1
"14",1,1.98202862234579,1.20064028818356,1
"15",1,1.98202862234579,1.20064028818356,1
"16",1,1.98202862234579,1.20064028818356,1
"17",1,1.98202862234579,1.20064028818356,1
"18",1,1.98202862234579,1.20064028818356,1
"19",1,1.98202862234579,1.20064028818356,1
"20",1,1.98202862234579,1.20064028818356,1
"21",1,1.39289734799304,1.20064028818356,1
"22",1,1.39289734799304,1.20064028818356,1
"23",1,1.39289734799304,1.20064028818356,1
"24",1,1.39289734799304,1.20064028818356,1
"25",1,1.39289734799304,1.20064028818356,1
"26",1,1.39289734799304,1.20064028818356,1
"27",1,1.39289734799304,1.20064028818356,1
"28",1,1.39289734799304,1.20064028818356,1
"29",1,1.39289734799304,1.20064028818356,1
"30",1,1.39289734799304,1.20064028818356,1
"31",1,0.0132793126409785,1.20064028818356,1
"32",1,0.0132793126409785,1.20064028818356,1
"33",1,0.0132793126409785,1.20064028818356,1
"34",1,0.0132793126409785,1.20064028818356,1
"35",1,0.0132793126409785,1.20064028818356,1
"36",1,0.0132793126409785,1.20064028818356,1
"37",1,0.0132793126409785,1.20064028818356,1
"38",1,0.0132793126409785,1.20064028818356,1
"39",1,1.23509922316971,1.13611451453838,0
"40",1,1.23509922316971,1.13611451453838,0
"41",1,1.23509922316971,1.13611451453838,0
"42",1,1.23509922316971,1.13611451453838,0
"43",1,1.23509922316971,1.13611451453838,0
"44",1,1.23509922316971,1.13611451453838,0
"45",1,1.23509922316971,1.13611451453838,0
"46",1,1.23509922316971,1.13611451453838,0
"47",1,1.23509922316971,1.13611451453838,0
"48",1,1.23509922316971,1.13611451453838,0
"49",1,-1.37622697812497,-0.530801304628818,0
"50",1,-1.37622697812497,-0.530801304628818,0
"51",1,-1.37622697812497,-0.530801304628818,0
"52",1,-1.37622697812497,-0.530801304628818,0
"53",1,-1.37622697812497,-0.530801304628818,0
"54",1,-1.37622697812497,-0.530801304628818,0
"55",1,-1.37622697812497,-0.530801304628818,0
"56",1,-1.37622697812497,-0.530801304628818,0
"57",1,-1.37622697812497,-0.530801304628818,0
"58",1,-1.37622697812497,-0.530801304628818,0
"59",1,-0.50578491102674,-0.530801304628818,0
"60",1,-0.50578491102674,-0.530801304628818,0
"61",1,-0.50578491102674,-0.530801304628818,0
"62",1,-0.50578491102674,-0.530801304628818,0
"63",1,-0.50578491102674,-0.530801304628818,0
"64",1,-0.50578491102674,-0.530801304628818,0
"65",1,-0.50578491102674,-0.530801304628818,0
"66",1,-0.50578491102674,-0.530801304628818,0
"67",1,-0.50578491102674,-0.530801304628818,0
"68",1,-0.50578491102674,-0.530801304628818,0
"69",1,-0.941005944575853,-1.13841900645428,1
"70",1,-0.941005944575853,-1.13841900645428,1
"71",1,-0.941005944575853,-1.13841900645428,1
"72",1,-0.941005944575853,-1.13841900645428,1
"73",1,-0.941005944575853,-1.13841900645428,1
"74",1,-0.941005944575853,-1.13841900645428,1
"75",1,-0.941005944575853,-1.13841900645428,1
