"V1","V2"
1,-0.213977057260454
1,1.49621902627698
1,-1.7612093540391
1,-1.41282850288983
1,-0.875104016256703
1,0.859720463819959
1,-0.190856346633249
1,0.616469705103287
1,0.038616253660382
1,-0.875104016256703
1,0.434049942751997
1,-0.011925060664303
1,-0.343039277008191
1,0.36722773088089
1,0.443083129722569
1,-0.190856346633249
1,0.423973262320158
1,1.24137599448853
1,-0.710632543585894
1,-0.710632543585894
1,-2.03773479227507
1,1.13624590205593
1,-0.0665138387722186
1,0.65040683794884
1,1.3794966607726
1,0.115325748600861
1,-0.467381784869221
1,-0.467381784869221
1,2.20060087093218
1,0.519410661255832
1,0.406209520238085
1,-0.875104016256703
1,-2.03773479227507
1,1.42563956442952
1,-0.940105143879525
1,0.434049942751997
